arm,status_col,status,count,total,percent
Overall,strict_6m_status,TRUE_UNFAVORABLE,2,108,1.8518518518518516
Overall,strict_6m_status,LOST_TO_FOLLOWUP,17,108,15.74074074074074
Overall,strict_6m_status,WITHDRAWN,8,108,7.4074074074074066
Overall,strict_6m_status,OTHER_UNFAVORABLE,1,108,0.9259259259259258
Overall,strict_6m_status,FAVORABLE,56,108,51.85185185185185
Overall,strict_6m_status,PENDING,24,108,22.22222222222222
Overall,strict_6m_status,UNKNOWN_AFTER_WINDOW,0,108,0.0
BDL,strict_6m_status,TRUE_UNFAVORABLE,2,49,4.081632653061225
BDL,strict_6m_status,LOST_TO_FOLLOWUP,7,49,14.285714285714285
BDL,strict_6m_status,WITHDRAWN,4,49,8.16326530612245
BDL,strict_6m_status,OTHER_UNFAVORABLE,1,49,2.0408163265306123
BDL,strict_6m_status,FAVORABLE,21,49,42.857142857142854
BDL,strict_6m_status,PENDING,14,49,28.57142857142857
BDL,strict_6m_status,UNKNOWN_AFTER_WINDOW,0,49,0.0
BDLM,strict_6m_status,TRUE_UNFAVORABLE,0,59,0.0
BDLM,strict_6m_status,LOST_TO_FOLLOWUP,10,59,16.94915254237288
BDLM,strict_6m_status,WITHDRAWN,4,59,6.779661016949152
BDLM,strict_6m_status,OTHER_UNFAVORABLE,0,59,0.0
BDLM,strict_6m_status,FAVORABLE,35,59,59.32203389830508
BDLM,strict_6m_status,PENDING,10,59,16.94915254237288
BDLM,strict_6m_status,UNKNOWN_AFTER_WINDOW,0,59,0.0
Overall,strict_12m_status,TRUE_UNFAVORABLE,2,108,1.8518518518518516
Overall,strict_12m_status,LOST_TO_FOLLOWUP,36,108,33.33333333333333
Overall,strict_12m_status,WITHDRAWN,8,108,7.4074074074074066
Overall,strict_12m_status,OTHER_UNFAVORABLE,1,108,0.9259259259259258
Overall,strict_12m_status,FAVORABLE,37,108,34.25925925925926
Overall,strict_12m_status,PENDING,24,108,22.22222222222222
Overall,strict_12m_status,UNKNOWN_AFTER_WINDOW,0,108,0.0
BDL,strict_12m_status,TRUE_UNFAVORABLE,2,49,4.081632653061225
BDL,strict_12m_status,LOST_TO_FOLLOWUP,12,49,24.489795918367346
BDL,strict_12m_status,WITHDRAWN,4,49,8.16326530612245
BDL,strict_12m_status,OTHER_UNFAVORABLE,1,49,2.0408163265306123
BDL,strict_12m_status,FAVORABLE,16,49,32.6530612244898
BDL,strict_12m_status,PENDING,14,49,28.57142857142857
BDL,strict_12m_status,UNKNOWN_AFTER_WINDOW,0,49,0.0
BDLM,strict_12m_status,TRUE_UNFAVORABLE,0,59,0.0
BDLM,strict_12m_status,LOST_TO_FOLLOWUP,24,59,40.67796610169492
BDLM,strict_12m_status,WITHDRAWN,4,59,6.779661016949152
BDLM,strict_12m_status,OTHER_UNFAVORABLE,0,59,0.0
BDLM,strict_12m_status,FAVORABLE,21,59,35.59322033898305
BDLM,strict_12m_status,PENDING,10,59,16.94915254237288
BDLM,strict_12m_status,UNKNOWN_AFTER_WINDOW,0,59,0.0
