center,records_n,arms_present,month2_eval,eligible_12m,assessed_12m,unfavorable_12m
深圳三院,262,"A,B,C,D,E",228,194,168,39
广州胸科,75,"A,B,C,E",63,67,49,17
佛山四院,51,"A,C,E",50,50,41,0
广西壮族自治区胸科医院,44,"A,B,C,E",42,44,22,3
江门市结核病防治所,41,"A,B,C,D,E",38,31,15,0
桂林市第三人民医院,38,"A,B,C,D",31,32,31,1
赣州市第五人民医院,28,"A,B,C,D",22,18,15,0
重庆公卫,23,"A,B,C",22,12,3,1
安徽省胸科医院,22,"A,E",18,21,21,15
南宁四院,21,"A,B,C,D",19,17,17,11
梧州市第三人民医院,20,"A,B,C,D",19,17,9,0
汕头三院,18,"A,B,C",15,18,18,0
贵阳市公共卫生救治中心,12,"A,B,D",12,11,11,0
中大五院,11,"A,B,C,E",2,7,0,0
黑龙江省结核病防治院,11,"A,B,C,D",10,0,0,0
东莞六院,10,"A,B,C",9,9,8,0
郑州市第六人民医院,10,"A,B,D,E",7,4,0,0
阿克苏三院,10,"B,C",8,8,8,0
昆明市第三人民医院,8,D,7,2,0,0
北海结核病防治院,5,D,5,0,0,0
江西省胸科医院,5,"A,B",4,2,2,0
九江三院,3,"B,C,E",3,3,1,1
新乡医学院第一附属医院,3,D,3,0,0,0
昆明市,1,D,0,0,0,0
珠海市第三人民医院,1,D,1,0,0,0
