record_id,source,pmid,doi,year,title,journal,authors,publication_types,title_abstract_decision,title_abstract_reason,abstract,pubmed_url
PUBMED-0001,PubMed,41790653,10.1097/MD.0000000000047551,2026,Risk factors for complications after complete debridement in patients with thoracolumbar spinal tuberculosis: A retrospective study.,Medicine,Huang Rui; Yang Zongqiang; Shi Jiandang; Niu Ningkui,Journal Article; Observational Study,include,符合首轮筛选,"Many studies have been published on the characteristics of spinal tuberculosis, but not yet on the risk factors for complications after complete debridement. This study aimed to investigate the risk factors of postoperative complications in patients with thoracolumbar spinal tuberculosis (TB) after complete debridement. The clinical data of patients with thoracolumbar spinal TB after complete debridement admitted to General Hospital of Ningxia Medical University from January 2013 to December 2021 were included in this retrospective study. Patients were included if they had complete clinical data and a minimum follow-up duration of 1 year to ensure adequate assessment of postoperative complications. The study cohort was divided into 2 groups, including complication group and non-complication group according to the presence or absence of postoperative complications. The clinical characteristics of thoracolumbar spinal TB patients who developed postoperative complications were evaluated, and risk factors were analyzed by using univariate and binary multivariate logistic regression analysis. A total of 571 patients were included in this study: 92 patients with complications and 479 patients without complications. The results of the univariate analysis and multivariate binary logistic regression analysis showed that preoperative albumin <35 g/L (odds ratio [OR] = 1.855; 95% confidence interval [CI], 1.106-3.111, P = .019), the number of diseased segments ≥3 (OR = 2.072; CI, 1.183-3.629, P = .011), anemia (OR = 1.691; CI, 1.047-2.731, P = .032) and drug resistance (OR = 1.768; CI, 1.011-3.091, P = .046) were independent risk factors for postoperative complications in patients with thoracolumbar spinal TB after complete debridement. Our findings support that the level of preoperative serum albumin, number of diseased segments, anemia, and drug-resistant TB are independent risk factors for postoperative complications in patients with thoracolumbar spinal TB after complete debridement. Therefore, improving preoperative serum albumin level, correcting anemia, actively preventing and monitoring drug-resistance may effectively reduce the risk of postoperative complications in patients with thoracolumbar spinal TB after complete debridement.",https://pubmed.ncbi.nlm.nih.gov/41790653/
PUBMED-0002,PubMed,41782604,10.1055/s-0045-1811691,2026,Value of Intraoperative Neuromonitoring in Spinal Tuberculosis Surgery: A Case Report of Neurological Compromise with Normal Imaging.,Asian journal of neurosurgery,Kumar Yogesh; Kumar Avinash; Tasneem Zakiyyah; Sivasubramanian Nirangjhana,Case Reports; Journal Article,exclude,病例报告,"Spinal tuberculosis (TB), also known as Pott's spine, remains a significant cause of spinal deformity and neurological compromise, particularly in endemic regions. Surgical correction of chronic deformities is associated with significant risks, including spinal cord injury. Intraoperative neurophysiological monitoring (IONM) has become an essential tool to minimize neurological complications. We report a case of an adolescent boy with longstanding thoracolumbar kyphosis due to spinal TB, where IONM identified true positive motor pathway compromise during deformity correction, despite intraoperative C-arm imaging confirming correct pedicle screw placement. Surgery was halted, and staged completion was planned. Postoperative neurological deficits confirmed the predictive validity of IONM. This case highlights the indispensable role of IONM in surgical decision-making, particularly in complex TB-related deformities where imaging alone may be insufficient to prevent neurological injury.",https://pubmed.ncbi.nlm.nih.gov/41782604/
PUBMED-0003,PubMed,41717299,10.4103/jcvjs.jcvjs_186_25,2026,Determinants of surgical outcome in spinal tuberculosis: A retrospective analysis of 84 patients.,Journal of craniovertebral junction & spine,Joshi Jignesh; Srikant Banumathy; Balasubramaniam Srikant; Nadkarni Trimurti,Journal Article,include,符合首轮筛选,"BACKGROUND: Spinal tuberculosis (STB) is a major cause of spinal deformity, instability, and neurological deficits. While antitubercular therapy (ATT) is the primary treatment, surgery is indicated in advanced disease or complications. This study evaluates surgical management and outcomes in cervical, thoracic, and thoracolumbar STB at a single Indian center. METHODOLOGY: Retrospective review of 84 patients (cervical 17, thoracic 37, thoracolumbar 14, and lumbar 16) who underwent surgery from 2015 to 2023. Data included demographics, clinical presentation, neurological status (American Spinal Injury Association [ASIA] scale), pain (Visual Analogue Scale [VAS]), surgical approach, fusion technique, complications, and postoperative outcomes. Surgical strategy was individualized based on lesion location, vertebral involvement, and deformity. RESULTS: Mean age ranged from 36.5 (cervical) to 49.3 (lumbar) years; males predominated. Pain (90%), fever (80%), and fatigue (66%) were common; neurological deficits occurred in 51%. Anterior approaches were used in cervical (76%) and thoracic (59%) cases, posterior in thoracolumbar (86%) and lumbar (100%), with combined anterior-posterior in 4%. Operative time and blood loss were lowest for cervical (96 ± 15 min; 70 ± 23 mL) and highest for thoracolumbar cases (156 ± 40 min; 264 ± 81 mL). Postoperatively, most patients improved neurologically (ASIA D/E), with significant pain reduction (VAS 7.1-7.6 → 2.2-2.9) and functional recovery (ODI 49-63 → 19-27). Complications were infrequent and manageable. CONCLUSION: Tailored surgical intervention for STB, guided by anatomical site and disease severity, achieves excellent neurological, functional, and radiological outcomes. Early, appropriately planned surgery remains essential for patients with progressive deficits, instability, or inadequate response to ATT.",https://pubmed.ncbi.nlm.nih.gov/41717299/
PUBMED-0004,PubMed,41625094,10.25259/SNI_1140_2025,2025,Senile thoracolumbar tuberculosis with kyphosis and severe osteoporosis treated with polymethylmethacrylate-augmented screw fixation.,Surgical neurology international,Kumar B Yogesh; Loganathan Bharath; Vijayakumar D,Case Reports; Journal Article,exclude,病例报告,"BACKGROUND: Elderly osteoporotic patients with kyphosis secondary to spinal tuberculosis (TB) are at high risk for implant failure. For these patients, polymethylmethacrylate (PMMA)-augmented pedicle screw fixation provides immediate stability but increases the risk of infection. Here, we evaluated the outcome for a 78-year-old osteoporotic female with TB-related kyphosis successfully managed with PMMA-augmented pedicle screw fusion. CASE DESCRIPTION: A 78-year-old female presented with mid-back pain, progressive kyphotic deformity, and increasing paraparesis. The magnetic resonance imaging revealed infectious T12-L1 spondylitis with accompanying vertebral body destruction/kyphosis. She underwent a single-stage posterior PMMA-augmented screw fixation from T9-L4 supplemented with anterior reconstruction and cage/bone grafting. The histology/cultures were consistent with spinal TB for which she received anti-tuberculosis therapy, followed by once weekly teriparatide (60 µg for 6 weeks). Neurological recovery was complete within 3 months, and by 2 years, the imaging confirmed a stable fusion. CONCLUSION: A 78-year-old osteoporotic female with T12/L1 TB-related spondylitis successfully underwent selective PMMA-augmented pedicle screw fixation from T9-L4 supplemented with anti-tubercular therapy.",https://pubmed.ncbi.nlm.nih.gov/41625094/
PUBMED-0005,PubMed,41281840,10.13107/jocr.2025.v15.i11.6416,2025,Posterior Decompression and Stabilization in Thoracic and Lumbar Spinal Tuberculosis: A Prospective Observational Study.,Journal of orthopaedic case reports,Panthi Dharam Kabir; Jain Vaibhav; Parihar Yogesh Singh; Dubey Deependra; Tandon Suneet,Journal Article,include,符合首轮筛选,"INTRODUCTION: Spinal tuberculosis (TB) remains a common cause of spinal infection worldwide and may result in severe neurological deficits and progressive deformity if not treated appropriately. While anti-tubercular therapy (ATT) is the cornerstone of management, surgical intervention is indicated in patients with neurological deterioration or mechanical instability. Posterior decompression and stabilization have emerged as a safe and effective surgical option. AIM: The aim of the study is to evaluate the functional and radiological outcomes in patients with thoracic and lumbar TB treated by posterior decompression and stabilization. MATERIALS AND METHODS: A prospective observational study was conducted on 30 patients with thoracic, lumbar, or thoracolumbar spinal TB between July 2022 and December 2023. Indications for surgery included neurological deterioration, sensory or sphincter deficits, recurrent neurological complications, or lack of improvement after 6 weeks of ATT. Functional outcomes were evaluated using the Visual Analog Scale (VAS) for pain, the American Spinal Injury Association impairment scale for neurological function, and the combined Prolo scale for functional and economic recovery. Radiological outcomes were assessed by kyphotic angle correction and Bridewell grading, while neurological recovery was additionally assessed by Kumar and Tuli's classification. Erythrocyte sedimentation rate (ESR) and C-reactive protein (CRP) were measured to monitor inflammatory activity. RESULTS: The mean patient age was 39.9 ± 14.4 years, with higher female prevalence and more frequent thoracic involvement. The mean intraoperative blood loss was 266 ± 50.1 mL, mean operative time was 2.46 ± 0.41 h, and mean hospital stay was 13.9 ± 4.7 days. At final follow-up, the mean VAS score improved significantly to 2.33 ± 0.99. Mean ESR and CRP declined to 25.5 ± 5.5 mm/h and 16 ± 6.1 mg/L, respectively. The mean post-operative kyphotic correction was 11.7° ± 3.8°, with a mean correction loss of 3.4° ± 1.4° at final follow-up. Functional evaluation showed excellent recovery in 50% of patients on the Prolo scale, and 57.1% achieved Grade I fusion according to Bridewell criteria. CONCLUSION: Posterior decompression and stabilization are safe and effective surgical strategies for thoracolumbar spinal TB. It provides reliable decompression, neurological recovery, deformity correction with maintenance, early mobilization, shorter hospital stays, and minimal complications, making it a viable option in resource-limited settings.",https://pubmed.ncbi.nlm.nih.gov/41281840/
PUBMED-0006,PubMed,41189375,10.31616/asj.2024.0216.r1,2025,"Letter to editor: Feedback on ""comprehensive spinal tuberculosis score: clinical guide for the management of thoracolumbar spinal tuberculosis"".",Asian spine journal,Bondarde Parshwanath; Kandwal Pankaj; Sethy Siddharth Sekhar; Ahuja Kaustubh,Comment; Journal Article,exclude,来信/评论,,https://pubmed.ncbi.nlm.nih.gov/41189375/
PUBMED-0007,PubMed,41115135,10.3791/68940,2025,Application of Cortical Bone Trajectory Screw for Treating Thoracolumbar and Lumbar Tuberculosis.,Journal of visualized experiments : JoVE,Hu Jinping; Zhang Chenwei; Wang Jue; Shi Shiyuan; Zhang Peng; Fei Jun,Journal Article; Video-Audio Media,include,符合首轮筛选,"The common form of extrapulmonary tuberculosis is spinal tuberculosis (TB). Spinal TB can lead to vertebral damage, resulting in kyphosis and neurological impairment. Debridement, bone grafting, and reconstruction are common surgical treatments for spinal TB. Spinal TB patients with anterior-middle spinal column destruction are more likely to experience loosening of internal fixation. Cortical bone trajectory (CBT) screw fixation reduces this complication probability because the entrance trajectory of CBT screws in the sagittal and axial planes substantially interacts with the cortical bone and boosts the screw-bone contact strength interface. The CBT screw insertion path is closer to the spinous process and involves less dissection of the paraspinal muscles; this approach appears to reduce intrinsic injury and postoperative pain. CBT screw is a safe and effective internal fixation method for spinal TB because it can effectively reduce the number of fixed segments, maximize spinal mobility, reduce tissue damage, and alleviate postoperative pain at the surgical site.",https://pubmed.ncbi.nlm.nih.gov/41115135/
PUBMED-0008,PubMed,41044564,10.1186/s12893-025-03200-4,2025,One-stage posterior surgical treatment of the rare thoracolumbar spine process and laminar nucleus with incomplete paralysis: a retrospective study.,BMC surgery,Zhang Huijun; Lu Zenghui; Yue Xiaotong; Yan Jinyu; Yang Xiaobin,Journal Article,include,符合首轮筛选,"BACKGROUND: The study was to evaluate the results of the one-stage posterior approach in treating patients with the rare thoracic and lumbar spinous process and vertebral laminae tuberculosis of the spine with incomplete paralysis. MATERIALS AND METHODS: 21 patients who were treated with bone graft fusion, debridement, spinal canal decompression, and posterior transpedicle internal fixation vie one-stage posterior approach were collected and analyzed. The data was collected at perioperative period and at the final follow-up visit. RESULTS: The follow up time was at an average of 21.62 ± 2.17 months. The mean age of these patients was 44.81 ± 17.76 years. The intraoperative blood loss and operative time were 538.09 ± 180.21 mL and170.95 ± 20.08 min, respectively. The C-reactive protein (CRP) level and erythrocyte sedimentation rate (ESR) decreased to normal by the last follow-up evaluation. The Oswestry Disability Index (ODI)and visual analogue scale (VAS) were substantially improved 4 weeks postoperatively and at the last follow-up evaluation (P < 0.05). The incomplete paralysis had improved significantly at the last follow-up evaluation based on the American Spinal Injury Association (ASIA) grade (P < 0.05). All patients achieved the bony fusion criteria. The average fusion time was 11.200 ± 2.16 months. CONCLUSIONS: The one-stage posterior approach is an efficient and safe surgical option for treating thoracic and lumbar spinous processes and vertebral laminae tuberculosis of the spine with incomplete paralysis. Surgical decompression is very necessary for the recovery of neurological function.",https://pubmed.ncbi.nlm.nih.gov/41044564/
PUBMED-0009,PubMed,40934036,10.1016/j.radcr.2025.08.005,2025,Tuberculous spondylodiscitis with atypical presentation: A diagnostic challenge: Case report and review of literature.,Radiology case reports,Ghoullam Ghizlane; El Binoune Imane; Rostom Samira; Zemrani Salma; El Moubarik Ikram; Amine Bouchra; Bahiri Rachid,Case Reports; Journal Article,exclude,病例报告,"Spinal tuberculosis is the most common form of osteoarticular tuberculosis and presents significant diagnostic challenges, especially in atypical cases. It may clinically and radiologically mimic neoplastic lesions, particularly when disc involvement is absent. We report a case of a 60-year-old woman with a history of treated lymph node tuberculosis who presented with chronic inflammatory dorsolumbar pain without systemic symptoms. Initial imaging revealed lytic lesions of the D11-D12 vertebrae with preservation of the intervertebral disc, raising suspicion of a neoplastic process. A PET scan demonstrated hypermetabolism at the affected level, and a first biopsy showed nonspecific inflammatory lesions. The patient was lost to follow-up but was later readmitted with worsening symptoms. Further investigations revealed vertebral lysis on radiographs and D11-D12 spondylodiscitis with a right psoas abscess on MRI. CT imaging showed lymphadenopathy, disc-vertebral involvement, and a psoas collection, more suggestive of tuberculosis than malignancy. A second biopsy confirmed granulomatous inflammation, establishing the diagnosis of a tuberculous spondylodiscitis. The patient was successfully treated with a 9-month anti-tuberculous regimen, resulting in significant clinical and radiological improvement. Tuberculous spondylodiscitis should be considered in the differential diagnosis of isolated spinal lesions suggestive of malignancy, especially in endemic regions. Early diagnosis and appropriate treatment are crucial to prevent complications.",https://pubmed.ncbi.nlm.nih.gov/40934036/
PUBMED-0010,PubMed,40791959,10.1016/j.radcr.2025.06.108,2025,Pott's disease: A case of multilevel vertebral tuberculosis with spinal deformity.,Radiology case reports,Crawford Charles K; Arshad Hajra; Chu Linda C; Fishman Elliot K,Case Reports; Journal Article,exclude,病例报告,"Spinal tuberculosis (TB), also known as Pott's disease, occurs in 1%-5% of TB patients. Spine is the most common musculoskeletal extrapulmonary site of infection in TB, with the thoracolumbar region affected the most. Spinal involvement leads to significant deterioration of the vertebrae, paraspinal abscesses, spondylodiscitis and may involve the spinal cord leading to neurologic deficits. Nonspecific signs and symptoms of back pain often delay and complicate the diagnosis. Computed tomography (CT) and magnetic resonance imaging (MRI) are the commonly used modalities for diagnosis as each can identify early bone destruction and abscess formation. MRI is highly sensitive for detecting disc and cord involvement. We present a case of a 29-year-old male with long standing back pain, diagnosed to be Pott's disease, discussing the role of imaging through computed tomography (CT) and MRI in diagnosis and management of the disease.",https://pubmed.ncbi.nlm.nih.gov/40791959/
